Timestamp,Donated,Contributions,Average Donation
1382179434,35301,1241,28
1382179838,35338.37,1243,28.4299034594
1382180243,35368.69,1245,28.4085863454
1382180652,35368.69,1245,28.4085863454
1382181056,35393.69,1246,28.4058507223
1382181463,35438.69,1248,28.3963862179
1382181875,35510.69,1254,28.3179346093
1382182283,35533.69,1256,28.2911544586
1382182687,35593.7,1259,28.2714058777
1382183091,35618.7,1260,28.2688095238
1382183497,35618.7,1260,28.2688095238
1382183904,35663.7,1262,28.2596671949
1382184313,35737.55,1267,28.2064325178
1382184720,35812.55,1271,28.1766719119
1382185141,36200.55,1278,28.3259389671
1382185547,36320.55,1280,28.3754296875
1382185952,36320.55,1280,28.3754296875
1382186356,36320.55,1280,28.3754296875
1382186760,36400.55,1283,28.3714341387
1382187165,36460.55,1285,28.3739688716
1382187570,36467.55,1286,28.357348367
1382187979,36492.55,1287,28.3547397047
1382188389,36614.55,1292,28.3394349845
1382188801,36677.55,1296,28.3005787037
1382189216,36758.55,1301,28.2540737894
1382189624,36758.55,1301,28.2540737894
1382190041,36928.55,1306,28.2760719755
1382190457,37074.86,1312,28.258277439
1382190863,37101.91,1314,28.2358523592
1382191274,37132.91,1316,28.2164969605
1382191684,37222.91,1319,28.2205534496
1382192100,37354,1326,28
1382192506,37399,1328,28
1382192928,37444,1330,28
1382193335,37464,1331,28
1382193744,37546,1334,28
1382194163,37621,1338,28
1382194570,37656,1339,28
1382194989,37731,1343,28
1382195406,37756,1344,28
1382195827,37962,1350,28
1382196248,38247,1356,28
1382196665,38337,1360,28
1382197077,38417,1363,28
1382197486,38418,1364,28
1382197895,38453,1366,28
1382198300,38473,1367,28
1382198704,38473,1367,28
1382199116,38508,1369,28
1382199544,38635,1376,28
1382199973,38834.8,1384,28.0598265896
1382200397,38899.8,1387,28.045998558
1382200818,39004.8,1392,28.0206896552
1382201242,39250.83,1401,28.0162955032
1382201615,39365.83,1406,27.9984566145
1382201778,39386.83,1408,27.9736008523
1382201942,39436.83,1410,27.9693829787
1382202112,39881.83,1425,27.9872491228
1382202280,41731.97,1475,28.2928610169
1382202454,42955.18,1509,28.4659907223
1382202630,43365.39,1525,28.4363213115
1382202796,43590.39,1531,28.4718419334
1382202961,43765.39,1536,28.4930924479
1382203127,43855.39,1541,28.459046074
1382203447,43970.52,1546,28.4414747736
1382203866,44035.52,1549,28.4283537766
1382204308,44225.52,1557,28.4043159923
1382204720,44270.52,1559,28.396741501
1382205133,44420.52,1562,28.4382330346
1382205552,44455.55,1564,28.4242647059
1382205981,44551.78,1570,28.3769299363
1382206403,44613.78,1574,28.344205845
1382206834,44884.69,1584,28.3362941919
1382207256,44934.69,1587,28.3142344045
1382207672,44996.71,1591,28.2820301697
1382208113,45096.71,1595,28.273799373
